name,latitude,longitude,type,vibe,description,best_time,intensity,features
Kedarnath Temple,30.7346,79.0669,temple,"Spiritual, Peaceful","One of the holiest Hindu temples dedicated to Lord Shiva, part of Char Dham","May-June, Sept-Oct",9,"Trekking required, Helicopter service available, Religious significance"
Rishikesh,30.0869,78.2676,adventure,"Fun, Energetic, Spiritual","World Capital of Yoga, famous for river rafting and spiritual activities","September-June",8,"River rafting, Yoga centers, Cafes, Temples"
Nainital Lake,29.3919,79.4542,natural,"Romantic, Relax","Beautiful lake city surrounded by mountains","March-June, Sept-Nov",7,"Boating, Shopping, Lake view, Mall Road"
Mussoorie,30.4598,78.0644,hillstation,"Fun, Romantic","Queen of Hills with scenic beauty and pleasant weather","March-June, Sept-Nov",7,"Mall Road, Cable car, Waterfalls, Shopping"
Valley of Flowers,30.7283,79.6049,natural,"Natural, Peaceful","UNESCO World Heritage site known for endemic alpine flowers","July-September",8,"Trekking, Photography, Rare flowers, Wildlife"
Auli,30.5302,79.5663,adventure,"Adventure, Fun","Popular ski destination with beautiful Himalayan views","Nov-March (skiing), April-June",8,"Skiing, Cable car, Snow views, Trekking"
Badrinath Temple,30.7433,79.4937,temple,"Spiritual, Peaceful","Sacred temple dedicated to Lord Vishnu, part of Char Dham","May-June, Sept-Oct",9,"Religious significance, Hot springs, Mountain views"
Jim Corbett National Park,29.5300,78.7747,wildlife,"Adventure, Natural","Famous tiger reserve and wildlife sanctuary","November-June",7,"Safari, Wildlife photography, Resort stay, Bird watching"
Haridwar,29.9457,78.1642,temple,"Spiritual, Cultural","Holy city where Ganga enters plains, famous for Ganga Aarti","Year-round, Oct-Feb best",8,"Ganga Aarti, Temples, Ghats, Religious ceremonies"
Tungnath Temple,30.4899,79.2168,temple,"Spiritual, Adventure","Highest Shiva temple in the world","April-November",8,"Trekking, Spiritual atmosphere, Mountain views"
