place_name,district_name,latitude,longitude,popularity_rating,average_temperature,type_of_place,best_visiting_month,short_description
Chopta,Tehri Garhwal,31.181,77.8805,1,2.9,Trek,October,sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis
Ranikhet,Bageshwar,30.7359,78.9189,1,24.4,Adventure Spot,June,id luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat
Almora,Haridwar,29.1551,78.9879,3,15.1,Temple,November,nunc rhoncus dui vel sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis
Nainital,Almora,31.2019,79.7255,5,17.5,Adventure Spot,June,sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae
Haridwar,Nainital,31.49,77.9622,5,17.0,Lake,January,sed nisl nunc rhoncus dui vel sem sed sagittis nam congue
Auli,Chamoli,31.2761,77.7782,4,21.2,Adventure Spot,July,pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo etiam pretium
Rishikesh,Bageshwar,30.3011,77.5996,3,25.8,Trek,April,blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent
Almora,Uttarkashi,29.1266,79.0232,3,1.3,Trek,May,massa donec dapibus duis at velit eu est congue elementum in hac
Haridwar,Rudraprayag,30.6719,78.6574,5,27.7,Adventure Spot,June,integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus
Mussoorie,Dehradun,29.58,80.4079,5,19.0,Wildlife Sanctuary,April,est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id
Nainital,Uttarkashi,29.9507,79.8141,3,2.6,Trek,June,et ultrices posuere cubilia curae nulla dapibus dolor vel est
Almora,Bageshwar,29.6941,80.4563,3,9.7,Lake,December,diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam
Rishikesh,Nainital,29.6112,78.7099,5,22.0,Lake,December,lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in
Ranikhet,Haridwar,29.9576,80.0438,4,16.3,Wildlife Sanctuary,April,pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum
Jim Corbett National Park,Dehradun,31.0829,78.3821,2,27.2,Temple,December,ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor convallis nulla neque libero convallis
Ranikhet,Uttarkashi,30.0771,77.9397,2,7.4,Lake,September,rutrum ac lobortis vel dapibus at diam nam tristique tortor eu pede
Nainital,Bageshwar,29.7926,78.7179,1,3.5,Temple,February,et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit
Nainital,Chamoli,30.1995,79.1026,1,2.3,Temple,March,vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam in
Mussoorie,Pauri Garhwal,29.8053,78.0946,1,26.2,Trek,January,ut nulla sed accumsan felis ut at dolor quis odio consequat varius integer ac leo pellentesque
Mussoorie,Uttarkashi,29.7445,78.5009,5,24.2,Lake,December,tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus
Haridwar,Uttarkashi,30.7728,78.5818,3,1.7,Temple,November,lorem id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus sit amet sem fusce consequat
Mussoorie,Uttarkashi,31.2658,79.2575,3,9.4,Adventure Spot,September,congue eget semper rutrum nulla nunc purus phasellus in felis donec semper sapien a libero nam
Lansdowne,Chamoli,31.069,78.4945,2,7.7,Trek,December,lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum ante ipsum primis in faucibus
Chopta,Dehradun,30.4912,77.8248,2,17.4,Temple,July,congue eget semper rutrum nulla nunc purus phasellus in felis donec semper sapien a libero nam
Rishikesh,Haridwar,31.1626,80.0843,2,24.0,Lake,July,morbi non quam nec dui luctus rutrum nulla tellus in sagittis dui vel
Lansdowne,Almora,30.532,78.4638,2,18.2,Temple,September,erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae
Mussoorie,Dehradun,31.4995,79.8482,2,24.2,Trek,September,primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus
Haridwar,Haridwar,29.0316,79.5315,5,6.4,Wildlife Sanctuary,June,orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec
Chopta,Chamoli,29.5034,77.736,1,29.7,Wildlife Sanctuary,December,at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis
Chopta,Pauri Garhwal,31.2952,79.9476,1,29.0,Lake,October,augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet
Mussoorie,Dehradun,29.9219,80.078,3,15.3,Trek,May,nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque
Mussoorie,Chamoli,29.8792,77.7864,4,14.7,Hill Station,July,nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris
Nainital,Rudraprayag,31.2356,80.4035,2,19.9,Trek,July,faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend
Chopta,Nainital,31.1428,78.2679,3,21.1,Trek,January,sit amet justo morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo in
Mussoorie,Dehradun,31.4019,80.4405,5,10.3,Lake,August,pede libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna
Mussoorie,Almora,31.2168,79.8846,2,0.5,Temple,January,dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac
Chopta,Uttarkashi,30.8542,80.2603,1,14.5,Lake,May,vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum
Chopta,Almora,30.1847,79.9645,2,28.5,Trek,March,venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu
Nainital,Tehri Garhwal,29.8803,79.4441,3,28.3,Hill Station,October,morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed
Rishikesh,Bageshwar,29.5478,79.6504,3,6.1,Trek,January,pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh in
Nainital,Nainital,29.1245,77.932,1,20.6,Temple,June,lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis
Rishikesh,Nainital,30.7841,78.322,4,25.7,Trek,September,sed magna at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget
Mussoorie,Chamoli,30.3186,80.3241,1,19.2,Hill Station,August,luctus rutrum nulla tellus in sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet
Auli,Almora,29.8542,78.7831,3,11.3,Wildlife Sanctuary,February,rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean sit amet justo
Mussoorie,Haridwar,29.3865,79.1955,4,25.3,Temple,August,nam congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend
Lansdowne,Haridwar,30.8786,78.2658,1,29.2,Lake,November,ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus
Jim Corbett National Park,Chamoli,31.3412,79.7062,2,6.1,Hill Station,January,tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat
Chopta,Almora,29.3931,79.9963,1,27.9,Trek,November,mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae
Lansdowne,Bageshwar,30.4637,78.2167,2,17.1,Lake,August,enim blandit mi in porttitor pede justo eu massa donec dapibus duis at velit
Rishikesh,Uttarkashi,31.4579,77.789,3,3.8,Lake,January,feugiat non pretium quis lectus suspendisse potenti in eleifend quam a
Rishikesh,Rudraprayag,30.8105,79.8584,2,26.1,Hill Station,December,aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan
Almora,Rudraprayag,29.5378,78.712,4,2.1,Temple,March,et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris
Rishikesh,Rudraprayag,29.605,80.1719,4,9.9,Wildlife Sanctuary,October,integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci
Rishikesh,Bageshwar,31.1485,80.2011,3,23.8,Hill Station,April,cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum
Auli,Nainital,29.3195,77.9308,4,9.7,Temple,January,vestibulum ante ipsum primis in faucibus orci luctus et ultrices
Almora,Uttarkashi,29.7344,78.2614,2,14.5,Lake,October,elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy
Chopta,Haridwar,30.0299,78.2308,5,8.9,Temple,October,pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing
Nainital,Rudraprayag,31.4481,79.7847,5,15.8,Temple,March,eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient
Rishikesh,Tehri Garhwal,29.8902,79.9563,4,29.3,Trek,June,convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus
Auli,Pauri Garhwal,31.157,79.0034,4,28.0,Hill Station,June,magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu
Auli,Rudraprayag,30.9844,78.074,4,6.8,Lake,November,phasellus in felis donec semper sapien a libero nam dui proin leo odio porttitor id consequat in consequat ut nulla
Rishikesh,Rudraprayag,29.0433,78.5153,1,19.8,Wildlife Sanctuary,June,luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor
Haridwar,Rudraprayag,29.7011,79.2151,4,23.7,Trek,February,mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non
Auli,Pauri Garhwal,30.5409,78.3848,2,13.8,Temple,February,tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum
Lansdowne,Almora,30.2438,79.9369,5,4.2,Hill Station,September,donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed
Jim Corbett National Park,Dehradun,30.0556,80.2043,2,4.2,Temple,February,sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae
Chopta,Dehradun,30.1258,79.5287,2,4.3,Trek,November,convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci
Almora,Dehradun,31.0522,79.1546,5,21.9,Trek,March,non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim
Rishikesh,Bageshwar,29.0327,79.6696,2,3.5,Hill Station,June,justo morbi ut odio cras mi pede malesuada in imperdiet et
Auli,Uttarkashi,31.1,79.3241,4,5.6,Wildlife Sanctuary,September,nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in
Lansdowne,Dehradun,30.3914,79.6046,5,13.8,Lake,May,erat volutpat in congue etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus
Haridwar,Bageshwar,31.3775,79.9949,3,24.5,Lake,November,ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est
Mussoorie,Rudraprayag,29.5864,78.4546,1,15.0,Hill Station,October,sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc
Mussoorie,Bageshwar,29.7953,78.9231,5,19.3,Hill Station,September,sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec euismod scelerisque quam
Rishikesh,Almora,29.9056,80.3711,2,19.5,Wildlife Sanctuary,June,montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus
Auli,Tehri Garhwal,29.3457,79.448,3,1.2,Hill Station,December,est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique
Lansdowne,Rudraprayag,30.7325,77.5405,5,4.9,Trek,November,porttitor lorem id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus sit amet
Chopta,Bageshwar,29.3151,78.8869,4,2.8,Trek,July,eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus
Nainital,Dehradun,29.4311,78.235,2,3.8,Temple,August,varius nulla facilisi cras non velit nec nisi vulputate nonummy
Almora,Haridwar,31.3947,78.6765,5,4.3,Temple,June,fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat
Ranikhet,Dehradun,31.138,77.9448,3,16.9,Hill Station,August,consequat lectus in est risus auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl
Auli,Almora,30.991,77.8236,1,10.4,Temple,May,erat vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla integer pede justo
Nainital,Dehradun,29.4171,78.9246,2,13.8,Trek,January,proin at turpis a pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate
Rishikesh,Dehradun,30.2856,77.613,1,25.9,Trek,March,duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus
Lansdowne,Bageshwar,31.0335,78.3638,1,15.0,Trek,May,quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor
Auli,Uttarkashi,29.5446,80.2402,1,9.9,Trek,June,tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor
Chopta,Pauri Garhwal,29.0487,80.007,4,20.3,Wildlife Sanctuary,October,ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis
Ranikhet,Rudraprayag,29.6348,79.4391,3,5.9,Wildlife Sanctuary,February,a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla
Chopta,Haridwar,30.3372,77.7191,4,29.7,Trek,January,dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante nulla
Auli,Bageshwar,30.9336,79.0367,1,9.2,Hill Station,October,ut mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus
